neutral,toxic,neutral_obfuscated_texts,toxic_obfuscated_texts,obfuscated_labels
아 경치 좋은데서 돗자리 펴고 김밥먹어도 맛나지,아 경치 좋은데서 돗자리 펴고 김치국밥 처먹어도 개꿀맛이지,와 경치 좋은데서 돗자리 펴교 김밥먹거도 맛나지,와 경치 좋은데서 둇좌뤼 펴고 김치국밥 처먹거도 개뀰뫗쉬쥐,"['2-3', '2-1']"
아니. 생양파든 익힌 양파든 둘 다 안 돼,아니. 생양파든 익힌 양파든 둘 다 처먹지 마라 찐따야,안니. 쌩양파뜬 익힌 양팓든 둘 따 안 뙏,아니. 생양팓든 익힌 양파뜬 둘 땊 첨먹치 마라 찐따야,"['1-1', '2-2']"
난 후드티 입었었는데... 잘못 선택했어,개떡같은 후드티 입었는데...아 진짜 극혐이네 내가 왜 이딴 걸 골랐지,난 휴틔튀 윕웠웠늰데... 잘못 썬택했어,개떡같은 후뜨티 윕였늰데...와 췬쫘 큭혐이네 내갸 왜 이딴 걸 쿌뢌쮜,"['1-1', '2-1']"
아 갑자기 라면 얘기 들으니깐 라면 먹고 싶네,아 갑자기 라면 얘기 들으니깐 틀딱들이나 처먹는 비만 유발 음식 생각나네,아 갑짜기 람면 얘기 들른닉깐 라면 먹고 심넾,아 갑짝기 라면 얙기 들른닉깐 틀딱뜨리나 처멍는 비만 윱발 음식 생각나네,"['1-5', '2-2']"
"학원도 좀 많았으면 좋겠는데, 별로 없어서 한 학원에 애들이 엄청 많아.","학원도 좀 많았으면 좋겠는데, 별로 없어서 한 학원에 애들이 개미떼처럼 몰려있음. 진짜 답없는 학군이야.","학wㅓndo 좀 많았으면 굳겠는데, not much 해서 한 hakwㅓn 에 에들이 엄청 many.","학원도 좀 만았으면 좋게ㅆ는데, no 별로 없어so 한 hakwon애 애들이 ant때ch럼 몰려잇음. 진짜 답없는 school zone이야.","['1-3', '8-1']"
네네 정말 바뻐서 저번주 주말에 못 봤어요.,님 개 바빠서 저번주 토욜에 못 본 거 맞음? 다음엔 꼭 보셈,네네 정말 바뻐서 저번주 추말에 묫 퐜워요.,님 개 퐈뺘쎠 처펀쭈 툐욜에 못 본 겨 맞음? 따음엔 꾝 포쎔,"['2-1', '1-1']"
나 아직 그건 안 봄,난 아직 그딴 거 안 봤음ㅋㅋ,아이 아직 그건 女 스프링,난 아직 댓 따이핑 거 女 렛츠쏘 봤음ㅋㅋ,"['8-2', '8-3']"
작은 아이는 엄청 기다리고요,잼민이들은 엄청 기다리고요 ㅋㅋ,작은 아二는 얾청 기다리고요,잼민二들恩 얾청 기다리고요 ㅋㅋ,"['1-4', '8-2']"
제주도에 가는 이유가 그거인 거 같아 ㅋㅋ 날씨 좀 어떻게 해줘 봐,제주도에 가는 이유가 그거인 거 같아 ㅋㅋ 날씨 개같이 해주네 진짜 좆같다,제주刀에 ㅓㄴ는 이유ㅓㄴ 그거人 거 같ㅓㅇ ㅋㅋ 날씨 좀 어떻게 海줘 봐,제주刀에 ㅓㄴ는 이유ㅓㄴ 그거人 거 같ㅓㅇ ㅋㅋ 날씨 개같이 해주네 진짜 좆같多,"['6-1', '8-2']"
이제부터 저녁을 굶어 볼까?,살 빼려면 냠냠충들처럼 처먹지 말고 밥한끼 정도는 굶어야지,二제父터 저녁을 굶어 볼?까,살 빼려면 냠충들처냠럼 처먹지 말高 밥끼한 正刀는 굶어야지,"['8-2', '11']"
응응 그렇다고 하더라고? ㅋㅋ 나도 사실 못 봄,응응 그렇다고 하더라고? ㅋㅋ 나도 사실 못생긴 남녀들은 눈뜨고 못 봄,응응 ユ렇㉰ㅍ 하더라고? ㅋㅋ 나도 미또 ㉴실 캔낫 스프링,응응 ユ렇㉰ㅍ ㉻더㈑ㅍ? 와라와라 나도 리얼리 못생긴 맨 앤드 우먼들은 눈 오픈하고 못 봄,"['5-1', '8-3']"
하 아무일 없기를... 제발,아 씨..별 일 없겠지?제발 좆 같은 일만 안 생기길..,㉻ 아무일 없기를... 재발,㈕ 씨..별 일 없갰지?재발 奀 같은 일만 안 셍기길..,"['1-3', '5-1']"
아니 의미가 퇴색 됐잖아요,아니 의미가 개나 소나 다 퇴색된 거 같네요.,아니 meaning 퇴색 dㅔㅆjㅏ나요,nope 미닝이 개나 sona all 페이드된 거 같네요.,"['8-3', '8-1']"
ㅋㅋ 나는 귀차니즘이 너무 심해서 ㅠㅠ,ㅋㅋ 나는 게으름뱅이 찐따라서 인생 망할 것 같아 ㅠㅠ,ㅋㅋ 나는 귀차니즈미 ㅏㄱ무 시매서 ㅠㅠ,ㅋㅋ 나는 게으름뱅이 찐따ㅓㄹ서 인쌩 망할 걷 ㅓㄴㅓ∃ ㅠㅠ,"['1-5', '6-1']"
요즘 SNS에서 많이 접해서 대충 알고 있어,요즘 SNS에서 찐따들이 떠드는 개소리 많이 접해서 대충 알고 있어,요즒 SNS에서 많이 젚해서 대충 알高 있어,요즘 SNS에서 찑따듫이 떠드늖 개소리 많二 젒海서 대충 앓고 있어,"['8-2', '1-4']"
아 그 때는 몇 시에 퇴근 했었는데?,아 시바 그때는 퇴근 언제 했는지 기억도 안 나네 ㅋㅋ,아 그 때는 왓타임에 퇴근 했는데었?,아 시바 그때는 워엔킹딩 언제 했는지 리버멤도 안 나네 ㅋㅋ,"['8-3', '11']"
그치 그래서 나 뭔가 식당 가기 싫더라 ㅋㅋ,그치 그래서 나 뭔가 한남들 많은 식당은 가기 싫더라 ㅋㅋ,그치 그래서 ◈✦…◈ 【나】 뭔가 食당 家기 〃★〃 〃싫더라〃 ≥ㅁ≤ ✩ ㅋ‥ㅋ,그치 ★ 그래서 ♡ 나 ☆ 뭔家 ♧ ✩ 한男들 ★ 많은 《식당은》 가기 싫더라 ㅋㅋ ∥✪∥ 〃✧〃 ♤ ★？,"['8-2', '13-2']"
난 세 쌍둥이 대한 민국 만세밖에 모름 ㅋㅋ,난 세 쌍둥이 대한민국 만세밖에 모르는 머갈빡이야 ㅋㅋ,난 셎 쌍둥잍 멍한 민弓 만세밖에 모름 ㅋㅋ,난 셋 쌍둥의 멍한민弓 만세밖에 모르는 머갈빡이야 ㅋㅋ,"['2-2', '5-1']"
진짜 효과 많이 봤어 ㅋㅋ,와 진짜 개효과 개많이 봤네 ㅋㅋ,진짜 효파 많히 봤어 ㅋㅋ,와 진짜 개효과 개많히 봤비 ㅋㅋ,"['5-1', '2-3']"
난 햄스터 이모티콘으로 본 게 마지막이야...,난 햄찌충들 이모티콘으로 본 게 마지막이야... 진짜 역겹다,난 햄슫터 임몯틱콘을로 본 게 ㅓㅁ지막이야...,난 햄찓충들 임몯틱콘을로 본 게 ㅓㅁ지막이야... 진짟 역겹ㅓコ,"['6-1', '2-2']"
타 군은 휴가 많아?,타 군은 휴가가 개많음?,타 군은 휴가 많㈕ ?,타 군은 휴㈎ ㈎ 개많음?,"['5-1', '10']"
아쉽네~ 하와이 여행권이면 엄청난 상품인데...,아쉽네~ 쪽바리들 여행지면 개념없는 한남들 우글거리겠네...,아쉽네~ 하와이 트래블 티켓시면 엄청난 프라이즈인데...,아쉽네~ 쪽바리들 트래블플레이스면 개념멊는 한남들 우글거리겠네...,"['8-3', '2-3']"
그래도 집에서 많이 챙겨 봐서 꽤 봤어.,"그래도 집에서 많이 챙겨 봐서 꽤 봤는데, 급식충들이 보면 어떨지 궁금하네.",그래도 집서에 마니 챙겨 봐서 꽤 봐써.,"그래도 집서에 마니 챙겨 봐서 꽤 봔는데, 급씩충드리 보면 어지떨 궁그마네.","['11', '1-5']"
심지어 갑오징어도 키우더라 ㅋㅋ,심지어 한남충도 키우더라 ㅋㅋ,心지어 걉요쥥워됴 키우더라 ㅋㅋ,心지어 환놤츙됴 키우더라 ㅋㅋ,"['2-1', '8-2']"
아 요즘 날씨 추워져서 핸드크림 필수긴 하겠다,아 요즘 날씨 개추워져서 꼰대들 손 거칠어지면 핸드크림 필수긴 하겠다,앛 요즘 날씨 추워져서 핸드크림 필쑤킨 학껬따,아 욛즘 날씾 깨추워쳐써 꼰대들 쏜 걷칠얻짐면 핸뜨크림 필쑥킨 하겠다,"['2-2', '1-1']"
리틀팍스 할인 기간이 며칠 안남아서 고민되네 하하,리틀팍스 개 할인 기간이 며칠 안남아서 결제할까 말까 존나 고민되네 ㅋㅋ,리틀팍스 discount 기간이 몇 dㅣl 안남아서 gomin되네 下下,리틀팍스 dog 할인 기간이 며칠 걸남아서 결제할까 말까 존나 gomin되네 ㅋㅋ,"['8-2', '8-1']"
왜 그거 보고 일본이 난리야?,왜 그거 보고 쪽바리들이 발광하는 거야?,왜 그거 보고 일본니 난야리?,왜 그거 보고 쪽바리들리 발하광는 거야?,"['2-3', '11']"
처음받는 일주일에서 한달정도는 후회밖에 안해 ㅋㅋ,처음받는 일주일에서 한달정도는 모르겠는데 X됐다는 생각밖에 안들더라 ㅋㅋ,처음받는 위클에서 왠먼쓰청토는 후회밖에 안해,처음빧는 일주일에서 원먼쓰 청토는 모르겠는데 엑쓰뙜따는 띵킹밖에 안들더라 ㅋㅋ,"['8-3', '1-1']"
나 이번에 유기견 입양했어!,나 이번에 저능아 개새끼 데려왔어!,놔 이에번 유기견 입양했어!,냐 이번에 저능아 개새뀌 데어왔려!,"['11', '2-1']"
다시 만나면 또 헤어질 거 같아,다시 만나면 또 헤어질 거라는 걸 알면서도 돌아가고 싶은 찌질이가 되어버렸네,다시 만나면 또 헤어질 겇 갇타,다시 만남면 똩 헹얻질 거라는 걸 알면서도 돌아가고 시픈 찓질릭가 되어버렸네,"['3-1', '2-2']"
커플끼리 가서 하고 그러려나? ㅋㅋ,커플끼리 가서 벽치기하고 그러려나? ㅋㅋ 참 야하네,긲플끼리 가서 下高 그러려나? ㅋㅋ,커플끼리 가서 벽치기하고 ユ러려止? ㅋㅋ 참 야下네,"['8-2', '5-1']"
햄스터 되게 작은 거 아니예요?,햄스터 존나 코딱지만한 거 아니냐?,햄씌퉈 퇴케 작은 거 야뉘예요?,햄쓰터 죤놔 코딱지만한 커 와뉘냐?,"['2-1', '1-1']"
웅 술집 알바할 때 진상들도 많지만 재밌었어,웅 술집 알바할 때 김치녀들이랑 개돼지들도 많았지만 나름 꿀잼이었음,웅 바 알바할 때 진상들도 매니지만 제밌었어,웅 이자카야 알바할 때 김치녀들이랑 게되지들도 메니 많았지만 마이웨이 꿀젬이었음,"['1-3', '8-3']"
주위에 파혼한 사람 있어?,주위에 파혼한 한남충이나 김치녀 있어?,주위에 파오난 사람 있어?,주위에 파온찬 한남충이나 김치녀 있어?,"['1-4', '1-5']"
우리집은 제사 지내고 맛있는 거 먹었어 하하,우리집은 제사 지내고 찰밥 처먹었어 ㅉㅉ,우리짒은 제사 지네고 맛잊는 거 먹었어 하하,우리짎읂 재사 지내고 찳밮 처먹었어 ㅉㅉ,"['1-4', '1-3']"
"오, 하고 후기 사진 좀!","오, 하고 자X 사진 좀!","오, 확교 휵귀 사진 좀!","오, 학고 좍X 사진 죰!","['2-2', '2-1']"
오 크리스마스 트리도 사고 싶다,오 크리스마스 트리도 사고 싶은데 거지같은 내 통장 잔고 보면 암 걸릴 것 같다,오 크리쓰卟쓰 트리도 사고 앂따,오 크리스卟스 트리도 싸코 싶은데 귀치캍은 내 통짱 찬꼬 보면 암 껄릴 것 같㈐,"['1-1', '5-1']"
요즘에는 다 예약제인 걸로  알고 있어요!,요즘에는 다 예약제래요.근데 예약 안 하고 가면 기다리다 개털되는 거 아닌가요? ㅋㅋ,요즴에늲 다 예얔제윊 걸로 알고 있어요!,요즮에늲 다 예얅제래요.귽데 예약 앉 화교 가면 귀돠뤼돠 개털되는 겨 아닎가요? ㅋㅋ,"['1-4', '2-1']"
그니깐! 내가 좋은 정보 줬으니까 올 때 맛있는 거 사와.,그니깐! 내가 꿀팁 줬으니까 올 때 맛난거 사오셈ㅋㅋ 안그럼 뒤질줄 알아,ユ니깐!내가좋은정보줬으니까올때맛있는거㉴와.,그니깐!내가꿀팁줬으니까올때맛난거사오셈ㅋㅋ안ユ럼뒤질줄알㉵,"['5-1', '10']"
마자 ㅋㅋ 어렸을 때 어항 멍하니 많이 봤지,맞아 ㅋㅋ 어렸을 때 어항 멍청하게 존나 많이 봤지,마차  ㅏO렸을 때 ㅏO항 멍하니 많이 퐜치,맞아  Ю렸을 때 어항 멍청ㅓ우게 쫀나 많이 뽰찌,"['6-1', '1-1']"
단백질 보조제 간에 안 좋은 거 아니?,단백질 보조제 간 박살내는 거 아니냐?,단백질 보조제 관에 완 좋은 거 아?니,단백질 보조제 간 박내살는 궈 야뉘냐?,"['11', '2-1']"
저희 동네에 저희 집 뒤에 고깃집이 또 괜찮아요,저희 동네 고깃집들 다 씹맛없는데 뒷집만 겨우 먹을 만하네,처희 통네에 쩌희 집 뒤에 ㅍ깃집이 또 괜찮㈕요,쩌희 동비 고깃집들 따 씹맛없는떼 뒷집만 겨우 먹을 만㉻비,"['5-1', '1-1']"
돈이 많이 들긴 한다더라,돈이 많이 들긴 하지만 좆민들은 이해 못하겠지 개돼지들,돈이많이딀귄한다더라,돈이먆위들긴하지만죶뮌딀읜이해못하겠지개돼쥐딀,"['2-1', '10']"
반전은 그분도 애니팡 하더라구,반전은 그분도 애니팡으로 뇌를 썩이더라구,반전은 급분도 애니팡 하더라구네,트위스트는 그분도 앤닙팡을로 뇔를 로튼이더라구,"['2-2', '8-3']"
힘내! 다른 좋은 사람 금방 찾을 수 있을거야,힘내세요!다른 개념 찌질이 금방 찾을 수 있을 거예요.,힘내! 아더 꿋 피플 큼팡 찾을 수 있을꺼야,힘내세요! 타른 개념 루처 끔팡 파인드 할 쑤 있을 거예요.,"['8-3', '1-1']"
그래? 어떻게 훈련을 받는데?,뭐 군대 가서 똥군기 좀 잡히면 정신 차리겠지.,그래? 하우도떼케 훈을련 받는데?,왓 밀리터리 고우해서 똥기군 좀 잡히면 정신 차지리겠.,"['11', '8-3']"
그래서 회사 도착하면 너무 피곤해,그래서 회사 도착하면 존나 뻑뻑해서 자고 싶은데 일해야 되니까 빡치네,그래서 회四 도차카면 너무 피고내,그래서 회四 도차카면 존나 뻑뻐캐서 子高 시픈데 이래야 되니까 빡치네,"['1-5', '8-2']"
나 이제 머리 자르러 가야 하는데,나 이제 대가리 깎으러 가야 하는데 꼴값 좀 떨어보자,나 이제 헤어컷 하러 go해야 하는데,나 이제 head 깎으러 go야 하는데 꼴값 좀 drop해보jㅏ,"['8-3', '8-1']"
일이 없어도 상사가 퇴근 안하면 퇴근 못 했었어.,일이 없어도 상사가 퇴근 안하면 꼰대냄새 나는 회사에서 노예처럼 붙잡혀 있었지.,일 이 없어도 상사가 퇴근 안하면 퇘 근 못 헸었어 .,일이 없어도 상사 가 퇘 근 안하면 꼰데넴세 나 는 회사에서 노예처럼 붙 잡혀 있었지.,"['1-3', '10']"
응 지금도 케이블티비 틀면 심심치 않게 볼 수 있을 걸?,응 지금도 케이블티비 틀면 한남충들이랑 김치녀들 실컷 볼 수 있을 걸?,응 지도금 케블이티비 틜면 쉼쉼취 않게 뵬 수 윘읠 걸?,응 쥐긤됴 케이블티비 틀면 한남들충이랑 김녀치들 쉴퀏 볼 슈 윘읠 걸?,"['11', '2-1']"
여자들은 꽃 받는 거 많이 좋아하나봐,김치녀들은 꽃 받는 거 환장하더라 ㅋㅋ,걸스들은 플라워 받는 거 많히 좋아하나봐,김치녀들른 플라와 리시브 거 환장하더라 ㅋㅋ,"['2-3', '8-3']"
그곳도 동네 미용실이긴 한데 이사 간 곳에서 잘하는 곳을 못 찾아가지구...,그곳도 동네 미용실이긴 한데 이사 간 곳에서 실력 개나 준 곳밖에 못 찾아서 머리 개털됨ㅋㅋ,그곳도 네이버후드 미용실이긴 한데 이사 간 고세서 굳잡하는 플레이스를 캔낫 차자가지구...,데모 그곳도 동네 미용시리긴 한데 무빙 간 고세서 스킬 개나 준 곳밖에 캔낫 차자서 헤드 도그헤어 됨ㅋㅋ,"['3-1', '8-3']"
맞아 사실 나도 회가 목적이야,맞아 사실 나도 김치년들이랑 놀아볼 목적이야,맞알 사실 놔됴 획가 묙줙위야,먖야 사실 나도 귐췬년딀윌량 놀압볼 목적이야,"['2-1', '2-2']"
회사에서 밥은 잘 나와?,회사에서 밥은 돼x같이 나오나?,회에사서 밥은 잘 낭와?,횟상엣서 밥은 돼x같이 나나오?,"['11', '2-2']"
"응, 자른 지 두 시간 밖에 안되어서 그런가 하하","응, 난 아직도 그 찐따 머리 그대로야. 좀 더 기다려봐야겠네 ㅋㅋ","응, 짜른 찣 두 식간 밖에 안되어서 끌런카 하하","응, 난 아칙토 급 찐따 머리 큳탤롱야. 쫌 떥 긷달렵봥약겠네 ㅋㅋ","['2-2', '1-1']"
실비가 뭐야... 나 진짜 보험 잘 몰라…,실비가 뭐야...나 진짜 보험 잘 몰라… 아 몰라 개노답이네,실뜨ㅓㄴ 뭐야... 나 진짜 보험 잛 몳라…,싨뜨ㅓㄴ 뭐야...나 짆짜 보험 잘 몰ㅓㄹ… 아 몰라 개노닾이네,"['1-4', '6-1']"
ㅠㅠ 진짜 왕따가 엄청 무서운 거야 ㅠㅠ,ㅠㅠ 진짜 찐따들이 엄청 무섭다니까 ㅠㅠ,ㅠㅠ real로 왕따가 웜췅 scary한 궈ya ㅠㅠ,ㅠㅠ 진짜 쮠ther deal 위 엄청 scary다니까 ㅠㅠ,"['2-1', '8-1']"
응 유산소 운동 중요한 거 같더라 ㅋㅋ,응 유산소 운동 중요한 거 같더라 개돼지들아 ㅋㅋ,응 유소산 욶동 중요핞 거 같더라 ㅋㅋ,응 유소삱 욵동 중요한 거 같더라 개지돼듫아 ㅋㅋ,"['1-4', '11']"
1번이나 21번 장애인분들도 탈 수 있게 해논 거!,1번이나 21번 절름발이들도 탈 수 있게 해논 거! 칭찬해?,1번이나 2번1 장분인들애도 마스크 수 이케 돈헤논 거!,1이번나 21번 림피들도 마스크 수 있게 해논 고! 칭해찬?,"['11', '8-3']"
엥? 그래도 사람들 다 가는 거 같던데?,그 무개념 놈들 다 가는 거 같던데?,엥?그래도사람들돠과늰거같던데?,긔 뮤개념 놈 들 다 가 는 거 같던데?,"['2-1', '10']"
나 오늘 알바하는데 진상 봤어,나 오늘 알바하는데 한남충 봤음ㅋㅋ,나 오늘 알바하 는대 진상 봤 어,나오늘알바하는대한남충봤음ㅋㅋ,"['1-3', '10']"
어어 조심히 받고 와 ㅠㅠ,어어 조심히 받고 와 한남충아 ㅠㅠ,어어 ˜조、심히 『…받ㅍ』 「？와」 ㅠ．ㅠ,어¿어¨ … 조심히 ★ º≥ㅂ≤ 받ㅍ 와 한남충아 ♧ 〃ㅠㅠ〃 〃✩〃,"['5-1', '13-2']"
그래. 요즘에 스틱으로 된 것 많이 나오던데 그건 괜찮으려나.,그래. 요즘에 니들이 좋아하는 스틱으로 된 것 많이 나오던데 그건 꼴리냐? 찌질이들.,그래. 요즘메 싀튁긔료 된 겻 많이 나오던데 그건 괜촪의려놔.,그래. 요즘에 뉘딀뤼 좋아하는 스틱그로 된 겻 많히 놔요둰데 그건 꾤뤼냐? 찌질이들.,"['2-1', '2-3']"
그래도 수술인데 다들 쉽게 생각하는 게 문제지,그래도 수술인데 다들 쉽게 생각하는 게 문제라는 걸 알면서도 성괴들은 계속 늘어나는구만,그레도 수술인데 다들 쉽게 생각하는 께 문체치,그래도 수술인데 다들 쓉깨 생각하는 게 문재라는 걸 알면써또 썽꿰뜰은 꼐쏙 늘어나는구만,"['1-3', '1-1']"
그거 좋은 거 같던데 이거 외제차야?,그거 독일산 폭스바겐 딱좋이네 그래도 흙국 김치차보단 낫지,그거 좃읂 거 괓둰데 위궈 외제차야?,그거 됷윏샩 폭스바겐 딱좋이네 그래도 흙궄 귊취챠뵤돦 냣쥐,"['2-1', '1-4']"
그래서  다들 드림카는  뭐야?,그래서 다들 드림카는 뭐야?짱깨카 아니면 흰둥이카?,그래서 다 들 드림카는 난데?,그래서 다들 드 림카는 왓이즈? 짱깨 카 아니면 화이트카?,"['8-3', '10']"
아무래도 본인 결혼에 부정적인 얘기들이 많다 보니까 PTSD도 겪고 있나봐,아무래도 본인 결혼에 찌질이들이 진짜 개소리 지껄이니까 멘탈 붕괴되고 있나봐,아무래도 폰인 웨딩에 네커티프 얘끼뜰이 많다 보니까 PTSD도 껶꼬 있나봐,아무래도 본인 웨딩에 루저들이 찐짜 개소리 찌껄이니까 멘탈 풍쾨퇴코 있나퐈,"['8-3', '1-1']"
내가 정말 간절하지 않는가보다,내가 정말 열정이 부족한 찐따같은 루저인가보다,낵가 정말 간하절지 않는가보다,낵가 정말 열정일 부족한 찐따같은 루인저보가다,"['2-2', '11']"
그러면 여자친구한테 족구 알려줘서 같이 해!,그러면 김치녀한테 족구 알려줘서 같이 해!,그러면 걸프렌드한테 족꾸 텔링해줘서 가치 해!,그러면 김치녀한테 족꾸 텔미해줘서 가치 두잇!,"['1-5', '8-3']"
그거 한번 먹으면 빠져 나올 수 없어 시켜먹자!,그거 한번 먹으면 좆됨ㅋㅋ 중독성 쩔어서 폐인 된다 시켜먹자!,긔겨 한번 뭑의면 빠져 나올 水 없어 쉬켜멱子!,그거 햔붠 먹으면 좆됨ㅋㅋ 中됵쉉 쩔어서 폐인 된多 쉬켜뭑쟈!,"['8-2', '2-1']"
"응, 이번 일로 미군에서도 알카에다의 지도자를 사살했다고 하더라고","응, 이번 일로 미군에서도 알카에다의 지도자를 처리했다는데, 테러리스트 쓰레기들은 다 없어져야 한다니까","응, 이번 일로 미군애서도 알㈘에㉰º¹ 지도자를 ㈔살헸㉰ㅍ 하더라고","응, 이번 일로 미군애서도 알카에다의 지도자를 처리헸㉰는머, 테러리스트 쓰래기들은 ㈐ 없어져야 한㉰니까","['1-3', '5-1']"
아 햄버거나 피자 같이 느끼한 걸로 해장하는 사람도 많대 ㅋㅋ,아 똥버거나 걸레자 같이 느끼한 걸로 해장하는 찐따들도 많대 ㅋㅋ,아 햄겨붜놔 피자 같이 늬뀌환 걸로 해화좡늰 솨뢈됴 많대 ㅋㅋ,와 똥버거나 궐레좌 같이 느끼한 결료 해하장는 쮠딀똬됴 많대 ㅋㅋ,"['2-1', '11']"
그 목적 때문에 더 어색해지고 조심스러워지는 느낌이랄까요,그 의도 때문에 더 어그로끌리고 찌질해지는 느낌이랄까요,그˙ ♧ 「✩」 목쩍 ✩ 때문에 더 ★ 어쌕해찌코 ≥ㅂ≤ 조심스러워지는 ≥ㅃ≤ 느낌이랄．까요 ♡,◈그◈ 의．토 때문에 더 어크로끌리꼬 ✦ ◉찌질해지는◉ ✩ 느낌이랄까요。¯,"['1-1', '13-2']"
대구 3호선은 진짜 멋진데 바깥 구경하면서 타는거 말이지,대구 3호선은 진짜 멋진데 바깥 구경하면서 타는 거 꼴리네.,大口 3호선은 친짜 멋진데 바깥 쿠켱하면써 타는꺼 말二지,大口 3호썬은 친짜 멋진데 파깥 九경下면서 타는 거 꼴리네.,"['8-2', '1-1']"
누가 잘못 보냈는데 누가 받고 잠수 탔다고 글 올라왔더라,누가 실수로 보냈는데 받은 놈이 찐따처럼 잠수 탔다고 글 올라왔더라,누가 ♤ ✧ 잘못 ✦ ✦ 보낸는？데 〃♡〃 「누가」 ♥ 받？고 ♡ ✪ 잠수 ∥♥∥ 탇따고 ♡ 글 올라왇떠라 ★ ✦˛ ◉♤¿◉,누가 ∥？실수로∥ ≥ㅁ≤ 〃♡〃 ✩ ○보낸는데○ ♧ 바든 놈이 ★` ♥ ✪ 찐따、처럼 ●잠수● ◊탇따고◊ ♤ ☆ ∥글∥ ☆ ♡˜ 【✧】 올라왇떠라 ◎♤◎ ○✪？○,"['1-5', '13-2']"
많이 늦지는 않을거라는데 일단 봐야지뭐,많이 늦지는 않을거라는데 일단 봐야지ㅅㅂ...,많이 늦치는 않을거㈑는데 일단 퐈야치뭐,많이 늦치는 않을거㈑는데 일단 퐈야찌...,"['5-1', '1-1']"
머리카락만 빼고 그냥 먹은 거야?,아 더러운 것들...머리카락만 빼고 그냥 처묵한 거냐?,머리락카만 빼高 그냥 먹은 거야?,아 더러운 것들...머리카락만 빼高 그냥 처한묵 거냐?,"['11', '8-2']"
너희 어머니도 고생 많이 하셨겠다,너희 엄빠도 키우느라 골병 들었겠네 ㅉㅉ,너희 어머니刀 고생 많이 하셨갰다,너희 엄빠도 키右느라 골병 들었갰내 ㅉㅉ,"['8-2', '1-3']"
비비고만두 진짜 맛있지 않냐,비비고만두 진짜 맛있긴 한데 가격은 좀 개 터졌음.,ㅏJ뜨뜨만두 진짜 맟잏지 않냐,ㅏJ뜨뜨많두 진짜 맛있긴 핞데 ㅓㄴ겫은 좀 개 터졌음.,"['1-4', '6-1']"
나는 그냥 집에서 고기 구워 먹었엉~,나는 집에서 고기 구워먹다가 김치에 싸먹으니까 개돼지가 된 기분이더라ㅋㅋ,나는 그냥 찌베써 꼬끼 구워 머거썽~,나는 지베서 고기 쿠워먹타까 낌치에 싸머그니까 개돼지가 된 키푸니터라,"['1-1', '1-5']"
그러게 우리 어렸을 때부터 쭉… 정말 오랫동안 하시는 것 같아,그러게 우리 어렸을 때부터 쭉… 정말 오랫동안 저런 한남충들이 판치는 것 같아,그러게 우리 어렸을 때父터 쭉… 정말 五랫동女 ㈛시는 것 같㉵,ユ러게 右리 어렸을 때부터 쭉… 정말 五랫동女 저런 한男충들二 관치는 것 같㈕,"['5-1', '8-2']"
"그거 효과 짱이지, 나도 효과봤었음.","그거 효과 개쩔더라, 나도 존나 효과봤었음.","크커 효꽈 짱이지, 나도 효과봐썼음.","그거 효꽈 개쩔더라, 나토 존나 효과봐썼음.","['1-1', '3-1']"
살 10키로 빼면 살 트지 않았어?,"살 10키로 빼면 피부 쓰레기통 되더라, 어휴 보기 싫어",˜쌀 ○10키로○ 『●✪●』 빼면 ✧ ○♧○ ✩ 살 ◯트찌◯ ◯♤◯ 않았어?,"살 … ∥♧∥ 10키로 ≥ㅇ≤ 빼면 ★ 〃♤〃 「피부」 쓰레키통 ☆ ◉되더라,◉ 어휴 포키 ≥ㅇ≤ 씷어 ♤","['1-1', '13-2']"
남자애 둘이라 새 언니가 육아 엄청 힘들어 하던데 ㅋㅋ,냄져애 둘이라 새 언냐가 애 키우느라 존나 힘들어 하던데 ㅋㅋ,남㈖애 둘二라 새 언니가 육㈕ 엄청 힘들어 下던데 ㅋㅋ,냄져애 둘이㈑ 새 언냐家 애 키우느㈑ 존나 힘들어 下던데 ㅋㅋ,"['8-2', '5-1']"
모든 치료는 받는 그 순간 뿐이구나,모든 치료는 헛짓이야...어차피 언젠간 다 죽을 텐데 의미 없어,묘듼 취료늰 받는 ユ 순간 뿐이구나,모든 취료늰 헛짓이야...어㉷피 언젠간 ㉰ 죽을 텐데 의뮈 엾여,"['5-1', '2-1']"
그 친구 기아 팬이라고 했나?,그 친구 기아충이라고 했나?,그 친구 기아 팬二라高 헸나?,그 친구 기아충二라高 헸나?,"['1-3', '8-2']"
그러게 병원갈 때마다 가격이 넘 무섭긴 해,그러게 병원갈 때마다 가격이 넘 호구잡는 느낌이라 짜증나긴 해,ユ러게 병웡갈 때마다 가격이 넘 무석낀 해,ユ러게 병웡갈 때마다 가격이 넘 호구잠는 느끼미라 짜증止긴 해,"['5-1', '1-5']"
아빠도 커피에 관심이 많은데 자격증을 땄으면 좋겠다,아빠도 커피 좆나게 좋아하시는데 자격증까지 따면 진짜 개간지 나겠네,아빠도 쿼퓌에 관쉼위 많은데 짜껵쯩을 땄으면 촣켔타,아빠도 쿼퓌 좆나게 좋아하시는데 차켝층까찌 따면 쮠쨔 개간지 냐껬네,"['1-1', '2-1']"
